vehicle,initial,final,times,dates,differences
SUV,NA,33,14:44,4/14/2025,NA
Sedan,NA,34,14:44,4/14/2025,NA
Truck,NA,29,14:44,4/14/2025,NA
Truck,NA,30,14:44,4/14/2025,NA
Truck,NA,39,14:49,4/14/2025,NA
Sedan,NA,36,14:49,4/14/2025,NA
Sedan,NA,30,14:50,4/14/2025,NA
SUV,NA,33,14:52,4/14/2025,NA
SUV,NA,26,14:52,4/14/2025,NA
Truck,NA,18,14:52,4/14/2025,NA
SUV,NA,29,14:58,4/14/2025,NA
SUV,NA,31,15:00,4/14/2025,NA
Sedan,NA,33,15:00,4/14/2025,NA
SUV,NA,29,15:00,4/14/2025,NA
SUV,NA,30,15:00,4/14/2025,NA
SUV,NA,30,15:01,4/14/2025,NA
Sevan,NA,31,15:01,4/14/2025,NA
Minivan,NA,37,15:03,4/14/2025,NA
Truck,NA,35,15:03,4/14/2025,NA
SUV,NA,28,15:05,4/14/2025,NA
Sedan,NA,30,15:05,4/14/2025,NA
SUV,NA,30,15:05,4/14/2025,NA
Truck,NA,31,15:08,4/14/2025,NA
Minivan,NA,31,15:08,4/14/2025,NA
Sedan,NA,35,15:09,4/14/2025,NA
Sedan,NA,30,15:10,4/14/2025,NA
Sedan,NA,28,15:10,4/14/2025,NA
Truck,NA,32,15:11,4/14/2025,NA
Sedan,NA,32,15:11,4/14/2025,NA
Truck,NA,29,15:12,4/14/2025,NA
SUV,NA,30,15:12,4/14/2025,NA
SUV,NA,30,15:12,4/14/2025,NA
SUV,NA,31,15:12,4/14/2025,NA
Minivan,NA,34,15:14,4/14/2025,NA
Truck,NA,26,15:14,4/14/2025,NA
SUV,NA,19,15:15,4/14/2025,NA
Sedan,12,34,NA,NA,-22
Truck,40,36,NA,NA,4
Sedan,26,34,NA,NA,-8
Suv,30,34,NA,NA,-4
Truck,32,31,NA,NA,1
Suv,27,30,NA,NA,-3
Suv,28,29,NA,NA,-1
Suv,28,32,NA,NA,-4
Truck,31,30,NA,NA,1
Sedan,30,34,NA,NA,-4
Sedan,15,30,NA,NA,-15
Truck,31,33,NA,NA,-2
Sedan,34,34,NA,NA,0
Sedan,31,31,NA,NA,0
Sedan,12,29,NA,NA,-17
Suv,14,33,NA,NA,-19
Suv,29,28,NA,NA,1
Suv,27,31,NA,NA,-4
Suv,26,35,NA,NA,-9
Sedan,34,35,NA,NA,-1
Suv,20,30,NA,NA,-10
Truck,11,30,NA,NA,-19
Truck,36,38,NA,NA,-2
Suv,33,33,NA,NA,0
Sedan,31,37,NA,NA,-6
Truck,14,26,NA,NA,-12
Suv,25,25,NA,NA,0
Suv,31,33,NA,NA,-2
Suv,27,28,NA,NA,-1
Suv,33,34,NA,NA,-1
Suv,36,34,NA,NA,2
Sedan,20,26,NA,NA,-6
Sedan,34,36,NA,NA,-2
Truck,19,28,NA,NA,-9
Sedan,28,33,NA,NA,-5
Suv,38,37,NA,NA,1
Suv,30,34,NA,NA,-4
Suv,20,32,NA,NA,-12
Sedan,26,35,NA,NA,-9
Suv,29,30,NA,NA,-1
Suv,28,27,NA,NA,1
Sedan,27,30,NA,NA,-3
Truck,27,27,NA,NA,0
Suv,33,34,NA,NA,-1
Sedan,34,34,NA,NA,0
Truck,34,35,NA,NA,-1
Suv,21,23,NA,NA,-2
Sedan,19,31,NA,NA,-12
Suv,41,40,NA,NA,1
Sedan,21,34,NA,NA,-13
Suv,25,28,NA,NA,-3
Sedan,37,37,NA,NA,0
Suv,31,31,NA,NA,0
Suv,27,28,NA,NA,-1
Suv,36,40,NA,NA,-4
Suv,28,38,NA,NA,-10
Suv,19,24,NA,NA,-5
Suv,25,26,NA,NA,-1
Sedan,32,33,NA,NA,-1
Suv,36,36,NA,NA,0
Truck,23,29,NA,NA,-6
Truck,19,30,NA,NA,-11
Suv,25,26,NA,NA,-1
Suv,21,25,NA,NA,-4
Suv,30,30,NA,NA,0
Sedan,29,27,NA,NA,2
Truck,25,27,NA,NA,-2
Suv,28,30,NA,NA,-2
Sedan,30,31,NA,NA,-1
Suv,35,37,NA,NA,-2
Suv,32,33,NA,NA,-1
Suv,25,27,NA,NA,-2
Suv,26,26,NA,NA,0
Suv,28,30,NA,NA,-2
Suv,27,32,NA,NA,-5
Sedan,35,38,NA,NA,-3
Suv,15,28,NA,NA,-13
Truck,40,37,NA,NA,3
Sedan,22,30,NA,NA,-8
Suv,31,32,NA,NA,-1
Truck,27,29,NA,NA,-2
Suv,25,25,NA,NA,0
Sedan,36,35,NA,NA,1
Sedan,29,31,NA,NA,-2
Truck,14,34,NA,NA,-20
Sedan,24,28,NA,NA,-4
Truck,32,30,NA,NA,2
Sedan,18,27,NA,NA,-9
Suv,39,36,NA,NA,3
Suv,28,33,NA,NA,-5
Truck,20,23,NA,NA,-3
Sedan,25,29,NA,NA,-4
Suv,31,28,NA,NA,3
Suv,30,34,NA,NA,-4
Sedan,21,26,NA,NA,-5
Truck,29,32,NA,NA,-3
Suv,35,35,NA,NA,0
Suv,26,25,NA,NA,1
Sedan,34,34,NA,NA,0
Truck,33,36,NA,NA,-3
Sedan,17,27,NA,NA,-10
Suv,36,39,NA,NA,-3
Truck,38,37,NA,NA,1
Sedan,23,28,NA,NA,-5
Suv,28,26,NA,NA,2
Suv,30,30,NA,NA,0
Truck,40,42,NA,NA,-2
Sedan,19,25,NA,NA,-6
Truck,26,31,NA,NA,-5
Suv,34,34,NA,NA,0
Suv,16,29,NA,NA,-13
Truck,24,28,NA,NA,-4
Sedan,37,37,NA,NA,0
Suv,29,34,NA,NA,-5
Truck,20,26,NA,NA,-6
Sedan,25,28,NA,NA,-3
Suv,34,32,NA,NA,2
Suv,39,40,NA,NA,-1
Truck,21,24,NA,NA,-3
Sedan,28,31,NA,NA,-3
Truck,31,35,NA,NA,-4
Suv,36,36,NA,NA,0
Sedan,27,27,NA,NA,0
Suv,33,34,NA,NA,-1
Truck,30,29,NA,NA,1
Suv,22,28,NA,NA,-6
Truck,35,37,NA,NA,-2
Sedan,24,24,NA,NA,0
Suv,32,35,NA,NA,-3
Sedan,14,29,NA,NA,-15
Truck,28,30,NA,NA,-2
Suv,26,28,NA,NA,-2
Suv,36,39,NA,NA,-3
Sedan,17,25,NA,NA,-8
Truck,29,27,NA,NA,2
Sedan,40,41,NA,NA,-1
Suv,30,34,NA,NA,-4
Suv,24,25,NA,NA,-1
Truck,38,35,NA,NA,3
Suv,19,24,NA,NA,-5
Sedan,21,21,NA,NA,0
Truck,35,38,NA,NA,-3
Suv,28,33,NA,NA,-5
Sedan,14,20,NA,NA,-6
Truck,27,28,NA,NA,-1
Suv,31,34,NA,NA,-3
